mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
5.311,0.746,1.967,0.437,0.578,0.287,3.27,130.456,0.0
8.612,0.764,0.585,0.365,0.482,0.275,1.708,189.774,0.0
9.83,0.839,0.411,0.291,0.36,0.245,1.307,130.009,0.0
10.458,0.85,0.407,0.273,0.345,0.228,1.253,131.56,0.0
10.407,0.867,0.341,0.228,0.315,0.212,1.095,188.115,0.0
10.505,0.873,0.277,0.225,0.299,0.201,1.001,169.034,0.0
10.603,0.877,0.305,0.186,0.292,0.195,0.977,290.285,0.0
10.937,0.896,0.293,0.177,0.263,0.188,0.921,181.537,0.0
10.984,0.894,0.192,0.16,0.258,0.18,0.79,127.979,0.0
11.012,0.895,0.285,0.168,0.259,0.176,0.888,130.543,0.0
10.842,0.907,0.251,0.146,0.231,0.167,0.795,230.104,0.0
10.93,0.897,0.254,0.155,0.25,0.171,0.829,268.863,0.0
10.988,0.896,0.242,0.147,0.269,0.174,0.832,131.547,0.0
11.095,0.906,0.239,0.131,0.241,0.165,0.775,131.7,0.0
11.163,0.905,0.234,0.132,0.235,0.16,0.761,135.385,0.0
11.232,0.918,0.216,0.119,0.219,0.159,0.713,594.731,0.0
11.147,0.916,0.225,0.122,0.226,0.152,0.725,164.076,0.0
